.id,date,name,variable,value
RMendeley,2012-01-17,cboettig,additions,15
RMendeley,2012-03-13,karthikram,additions,2
RMendeley,2012-03-13,karthikram,additions,0
RMendeley,2012-04-11,karthikram,additions,0
RMendeley,2012-03-14,karthikram,additions,25
RMendeley,2011-05-13,cboettig,additions,3
RMendeley,2012-04-20,karthikram,additions,7
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-04-11,karthikram,additions,8
RMendeley,2012-04-04,karthikram,additions,3
RMendeley,2012-04-14,karthikram,additions,34
RMendeley,2012-03-13,karthikram,additions,17
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2011-06-09,duncantl,additions,59
RMendeley,2012-01-17,cboettig,additions,0
RMendeley,2012-11-27,karthikram,additions,3
RMendeley,2012-04-20,karthikram,additions,0
RMendeley,2011-05-13,cboettig,additions,3
RMendeley,2012-04-22,karthikram,additions,0
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,3
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-04-22,karthikram,additions,458
RMendeley,2012-03-13,karthikram,additions,13
RMendeley,2012-03-13,karthikram,additions,18
RMendeley,2012-09-10,karthikram,additions,46
RMendeley,2012-03-13,karthikram,additions,2
RMendeley,2012-01-17,cboettig,additions,189
RMendeley,2012-03-13,karthikram,additions,10
RMendeley,2012-03-13,karthikram,additions,2
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2011-05-12,cboettig,additions,4
RMendeley,2012-04-20,karthikram,additions,4
RMendeley,2012-03-13,karthikram,additions,19
RMendeley,2012-03-14,karthikram,additions,7
RMendeley,2012-04-22,karthikram,additions,2404
RMendeley,2012-08-05,cboettig,additions,24
RMendeley,2012-04-22,karthikram,additions,17
RMendeley,2012-03-14,karthikram,additions,6
RMendeley,2012-03-13,karthikram,additions,2
RMendeley,2011-06-13,cboettig,additions,59
RMendeley,2011-05-25,cboettig,additions,2
RMendeley,2012-03-13,karthikram,additions,0
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-04-20,karthikram,additions,27
RMendeley,2012-03-13,karthikram,additions,2
RMendeley,2012-03-13,karthikram,additions,23
RMendeley,2012-04-04,karthikram,additions,145
RMendeley,2012-04-04,karthikram,additions,2
RMendeley,2012-03-13,karthikram,additions,26
RMendeley,2012-03-13,karthikram,additions,106
RMendeley,2012-04-14,karthikram,additions,1
RMendeley,2012-04-22,karthikram,additions,10
RMendeley,2012-03-13,karthikram,additions,15
RMendeley,2012-03-15,karthikram,additions,1
RMendeley,2012-04-04,karthikram,additions,1
RMendeley,2012-04-20,karthikram,additions,102
RMendeley,2012-04-20,karthikram,additions,64
RMendeley,2012-03-13,karthikram,additions,16
RMendeley,2012-01-17,cboettig,additions,21
RMendeley,2012-11-27,karthikram,additions,33
